canonical_id,workspace_module,ui_section_id,ui_component,source_tables,api_payload_keys,old_data_sources,write_strategy,v1_status,notes
A1,General identity,general-info,ObjectWorkspaceGeneralPanel,object,id;type;status;commercial_visibility;is_editing;name;region_code;published_at;name_i18n,object_temp,direct_or_moderated,implemented,Root object identity drives conditional modules and listing visibility.
A2,Structuring taxonomy,taxonomy,ObjectWorkspaceTaxonomyPanel,object_taxonomy;ref_code;ref_code_domain_registry;ref_code_taxonomy_closure,taxonomy;cached_taxonomy_codes,object_temp.extra;old_data_review_mapped,moderated_for_external_changes,implemented,Keep taxonomy separate from classifications and distinctions.
A3,Publication and moderation,publication,ObjectWorkspacePublicationPanel,object;pending_change;publication;publication_object,status;published_at;is_editing;pending_changes;publication_objects,object_temp,direct_or_hybrid,partial,The canonical map expects moderation diff support beyond the current list summary.
A4,Synchronization identifiers,sync-identifiers,ObjectWorkspaceSyncIdentifiersPanel,object_external_id;object_origin,external_ids;object_external_ids;origins;object_origin,object_origin_temp;object_temp,admin_read_or_override,implemented,Use this to trace old IDs and future SIT/source sync.
B1,Location and places,location,ObjectWorkspaceLocationPanel,object_location;object_place;object_zone,address;location;places;object_zones,object_location_temp,direct_or_moderated,implemented,Place-scoped location is present in schema; fixture coverage should include no-place and multi-place states.
B2,Descriptions and languages,descriptions,ObjectWorkspaceDescriptionsPanel,object_description;object_place_description;ref_language,description;descriptions;object_description;places.descriptions,object_description_temp,direct_or_moderated,implemented,Must preserve field-level language pills and object/place scope.
B3,Media,media,ObjectWorkspaceMediaPanel,media;media_tag;ref_code_media_type;ref_code_media_tag,media,media_galerie_lot1_temp,direct_or_moderated,implemented,Need explicit place-scoped media fixture.
B4,Object contacts,contacts,ObjectWorkspaceContactsPanel,contact_channel;ref_code_contact_kind;ref_contact_role,contacts,contact_channel_temp,direct,implemented,Actor/org contacts are displayed through relationships; object contact editing is this panel.
C1,Characteristics,characteristics,ObjectWorkspaceCharacteristicsPanel,object_amenity;object_language;object_payment_method;object_environment_tag;ref_amenity;ref_language;ref_code,amenities;languages;payment_methods;environment_tags,object_language_temp;object_payment_method_temp,direct,implemented,Use ref domains for option lists; old data does not fully cover amenities/environment.
C2,Distinctions and accessibility,distinctions,ObjectWorkspaceDistinctionsPanel,object_classification;ref_classification_scheme;ref_classification_value;ref_document,classifications;badges,old_data_review_mapped;manual_enrichment,direct_or_moderated,partial,Parser currently has a placeholder path; needs fixture with labels and accessibility.
C3,Sustainability,characteristics,ObjectWorkspaceCharacteristicsPanel,object_sustainability_action;object_sustainability_action_label;ref_sustainability_action,taxonomy.sustainability;object_sustainability_actions,object_sustainability_action_temp,direct,partial,Currently folded into characteristics; consider dedicated panel if editing grows.
C4,Capacity and policies,capacity-policies,ObjectWorkspaceCapacityPoliciesPanel,object_capacity;ref_capacity_metric;object_group_policy;object_pet_policy,capacity;capacities;group_policy;pet_policy,object_capacity_temp,direct,implemented,Include missing-policy sparse state in fixtures.
C5,Prices and promotions,pricing,ObjectWorkspacePricingPanel,object_price;object_price_period;object_discount;promotion;promotion_object,prices;pricing;discounts;promotions,object_price_temp,direct,implemented,Promotion import exists separately in old_data file 20.
C6,Openings,openings,ObjectWorkspaceOpeningsPanel,opening_period;opening_schedule;opening_time_period;opening_time_period_weekday;opening_time_frame,opening_periods;opening_times;openings,opening_period_temp,direct,implemented,Tree editor is required by canonical map.
D1,Provider follow-up,provider-follow-up,ObjectWorkspaceProviderFollowUpPanel,object_private_description;crm_interaction;crm_task,private_note;private_notes;crm_interactions,crm_interaction_temp;crm_comment_temp,direct,implemented,Vocabulary must remain provider relationship tracking rather than sales pipeline.
D2,Relationships,relationships,ObjectWorkspaceRelationshipsPanel,object_org_link;actor;actor_channel;actor_object_role;actor_consent;object_relation,actors;organizations;parent_objects;org_links;relations,actor_temp;actor_channel_temp;actor_object_role_temp,direct,implemented,Consent RGPD surface remains a follow-up gap.
D3,Memberships,memberships,ObjectWorkspaceMembershipsPanel,object_membership;ref_code_membership_campaign;ref_code_membership_tier,current_membership;memberships,manual_or_future_import,direct,implemented,Visibility impact is database-triggered through commercial_visibility.
D4,Reviews,none,No workspace edit panel yet,object_review;ref_review_source,reviews,not_in_old_bundle,read_only,backlog,Canonical V2; detail display can use object-detail panels.
D5,Quality incidents,none,No workspace edit panel yet,audit_template;audit_session;audit_result;incident_report,audits;incidents,not_in_old_bundle,hybrid,backlog,Canonical V2 for audits and reports.
D6,Legal compliance,legal,ObjectWorkspaceLegalPanel,object_legal;ref_legal_type;ref_document,legal_records;legal_compliance,manual_or_future_import,direct,implemented,Post-import fixture should include expired and requested states.
D7,Governance access,none,No object drawer panel yet,user_org_membership;user_org_business_role;user_org_admin_role;org_permission;user_permission,permissions,not_in_old_bundle,admin_read,backlog,Admin V3.
D8,History versions,none,No object drawer panel yet,object_version;audit.audit_log,versions;audit_log,not_in_old_bundle,read_only,backlog,Useful for moderation/debug but outside current drawer.
E1,Itinerary module,none,Object detail ITI panels exist outside workspace,object_iti;object_iti_stage;object_iti_section;object_iti_info;object_iti_profile;object_iti_practice,itinerary;track;stages,not_in_old_bundle,direct,gap,Canonical workspace should inject an ITI editor panel for practices and geometry.
E2,Activity module,none,No workspace edit panel yet,object_act,activity,old_data_review_mapped,direct,gap,ACT old mappings exist but the workspace does not yet expose object_act fields.
E3,Event module,none,No workspace edit panel yet,object_fma;object_fma_occurrence,event;occurrences,not_in_old_bundle,direct,gap,FMA agenda editing is canonical but not surfaced in workspace sections.
E4,Restaurant menus,none,ObjectMenus panel exists outside workspace family,object_menu;object_menu_item;object_menu_item_dietary_tag;object_menu_item_allergen;object_menu_item_cuisine_type,menus,not_in_old_bundle,direct,gap,RES menu sub-editor should be a conditional workspace module.
E5,Rooms and units,none,ObjectRooms panel exists outside workspace family,object_room_type;object_room_type_amenity;object_room_type_media,room_types,not_in_old_bundle,direct,gap,HOT/HPA/HLO/CAMP room editor should be a conditional workspace module.
E6,MICE meeting rooms,none,ObjectMice panel exists outside workspace family,object_meeting_room;meeting_room_equipment,meeting_rooms,not_in_old_bundle,direct,gap,Should be capability-driven rather than type-only.

